D.OrderHeaderID,D.PersonID,user_visit,H.NbDiners,nb_visits,avg_ticketU,pch_freq,visit_duration,TemperatureC,Humidity,Wind_Direction,Conditions,DoW,DoM,WoY,MoY,QoY,schedule,H,HMS
1204,10404,0,2,1,13.0,0.0,16.0227166652679,22,43,ENE,Clear,2,3,40,10,4,no_event,17,17:30:00
1205,10406,0,2,1,21.5,0.0,63.501716665426905,22,31,East,Clear,2,3,40,10,4,no_event,18,18:00:00
1205,10407,0,2,1,23.5,0.0,63.7529500007629,22,31,East,Clear,2,3,40,10,4,no_event,18,18:00:00
1206,10409,0,2,1,16.0,0.0,35.8804500023524,21,43,East,Partly Cloudy,2,3,40,10,4,no_event,19,19:30:00
1209,10410,0,2,1,18.5,0.0,12.411999996503198,25,34,ESE,Clear,3,4,40,10,4,no_event,18,18:00:00
1209,10411,0,2,1,19.5,0.0,11.8866166631381,25,34,ESE,Clear,3,4,40,10,4,no_event,18,18:00:00
1208,10413,0,2,1,24.5,0.0,11.9071666677793,25,34,ESE,Clear,3,4,40,10,4,no_event,18,18:00:00
1210,10418,0,2,1,20.0,0.0,10.8669999996821,24,61,WSW,Clear,3,4,40,10,4,no_event,18,18:30:00
1210,10419,0,2,1,19.0,0.0,11.162166666984598,24,61,WSW,Clear,3,4,40,10,4,no_event,18,18:30:00
1211,10423,0,2,1,17.0,0.0,10.2565999984741,19,78,West,Clear,4,5,40,10,4,no_event,10,10:30:00
1212,10424,0,2,1,20.0,0.0,16.542100000381502,20,60,West,Clear,4,5,40,10,4,no_event,11,11:00:00
1212,10425,0,2,1,19.0,0.0,7.50921667019526,20,60,West,Clear,4,5,40,10,4,no_event,11,11:00:00
1213,10430,0,2,1,23.0,0.0,63.742833332220705,20,60,West,Clear,4,5,40,10,4,no_event,11,11:00:00
1215,10439,0,3,1,29.0,0.0,36.40554999907809,21,47,NW,Clear,4,5,40,10,4,no_event,18,18:00:00
1215,10440,0,3,1,49.0,0.0,37.3157333334287,21,47,NW,Clear,4,5,40,10,4,no_event,18,18:00:00
1214,10442,0,2,1,10.0,0.0,11.5331666668256,21,56,NW,Clear,4,5,40,10,4,no_event,17,17:30:00
1214,10443,0,2,1,11.0,0.0,11.254383333524101,21,56,NW,Clear,4,5,40,10,4,no_event,17,17:30:00
1216,10450,0,2,1,18.5,0.0,8.91300000349681,21,56,NNW,Clear,4,5,40,10,4,no_event,18,18:30:00
1217,10452,0,2,1,30.5,0.0,8.9866666674614,20,51,NW,Clear,4,5,40,10,4,no_event,19,19:00:00
1217,10453,0,2,1,22.0,0.0,7.928433334827419,20,51,NW,Clear,4,5,40,10,4,no_event,19,19:00:00
1218,10458,0,2,1,16.2,0.0,5.02199999888738,16,72,Variable,Clear,5,6,40,10,4,no_event,10,10:30:00
1219,10460,0,1,1,18.0,0.0,14.6905000011126,16,72,Variable,Clear,5,6,40,10,4,no_event,10,10:30:00
1219,10461,0,1,1,14.0,0.0,13.288116669654801,16,72,Variable,Clear,5,6,40,10,4,no_event,10,10:30:00
1221,10472,0,4,1,14.0,0.0,49.33321666717529,19,43,North,Clear,5,6,40,10,4,no_event,17,17:30:00
1222,10473,1,1,2,12.15,0.0,49.611833333969095,18,31,North,Clear,5,6,40,10,4,no_event,18,18:00:00
1221,10474,0,4,1,16.0,0.0,49.602566667397795,19,43,North,Clear,5,6,40,10,4,no_event,17,17:30:00
