,no_partner,1partner,2_3partners,group, 1st time,2nd time,more than 2,tlevel_1,tlevel_2,tlevel_3,tlevel_4
TARTIFLETTE - 26cm Anchois - 26 cm  ID1,0.0826255294147356,0.14311815849792708,0.1490120874621959,0.0283412103723712,0.3506968969447409,0.03766005744330367,0.014505104598319938,0.045511269099053876,0.05043703583818742,0.08563355962531882,0.22122403144310432
TARTIFLETTE - 26cm Artichaut - 26 cm  ID1,0.0829481110733743,0.14377938462566583,0.14997396652953937,0.02850777610662765,0.3525768218227148,0.037850976216550244,0.014546017971537902,0.04581254762478437,0.050724214298638895,0.0861359501402516,0.22224442228047564
TARTIFLETTE - 26cm  - bœuf épicé  ID1,0.08447977924875699,0.14634553903550948,0.15244985558049498,0.028928827843910095,0.3586302746821924,0.03847672916757168,0.014857106261534038,0.04658616475517793,0.05164019595826677,0.08755442811231598,0.22612595420150844
TARTIFLETTE - 26cm  - câpres  ID1,0.08248717569342665,0.14290825880427835,0.14880199860929544,0.02830298765819875,0.3502247011894935,0.037565496541987965,0.01447593155269759,0.04544233377584943,0.05038962548719099,0.08548254608826823,0.220895334312778
TARTIFLETTE - 26cm  - champignons frais  ID1,0.084928641319443,0.14687706845012685,0.152944046718952,0.02899533388584359,0.3600608940595265,0.03841269843867654,0.015030798573977667,0.046701536047939474,0.05180982814322885,0.08767685328532793,0.2272584963127531
TARTIFLETTE - 26cm  - chorizo  ID1,0.0829481110733743,0.14377938462566583,0.14997396652953937,0.02850777610662765,0.3525768218227148,0.037850976216550244,0.014546017971537902,0.04581254762478437,0.050724214298638895,0.0861359501402516,0.22224442228047564
TARTIFLETTE - 26cm  - crème fraîche  ID1,0.08500455158782398,0.14699807589013725,0.15321123132168366,0.029186745275636673,0.3605679238310332,0.03865940853679512,0.01493216122745844,0.04674455462959304,0.051858904253711875,0.08801653393143746,0.2274815663718986
TARTIFLETTE - 26cm  - double mozzarella  ID1,0.08574407013689865,0.14766330016923707,0.15390185357756095,0.02919814741633111,0.36253261810969234,0.03851967708492999,0.015213648988216595,0.04692232794882883,0.05244783322963508,0.0880433417794526,0.22879430799719966
TARTIFLETTE - 26cm  - fromage de chèvre  ID1,0.08692921115592613,0.1498412764347603,0.15604583958172047,0.029512068541848846,0.3676238178432063,0.03907161285670019,0.015386950984996721,0.04771301161239286,0.05310135817532304,0.08926515941786045,0.23194398930520885
TARTIFLETTE - 26cm  - jambon  ID1,0.08324422701016918,0.14443620742967003,0.15054654241922175,0.028508504522183,0.3539036937056592,0.03793594360677039,0.01465868148545188,0.04603143502938887,0.05084079739161284,0.08639897331212593,0.2231705292612358
TARTIFLETTE - 26cm  - lardons fumés  ID1,0.08426129040336759,0.14598727427451896,0.15205115051709248,0.028851400015067596,0.35768074839765673,0.03841397284900177,0.014816517787123585,0.04646732551756407,0.05143085367471803,0.08733935474852217,0.22561664261790781
TARTIFLETTE - 26cm  - merguez  ID1,0.08265271716084652,0.1432270466868631,0.14919435804745473,0.02838133490089646,0.3510692091444469,0.0376394218720554,0.014512227258463418,0.045554751278693524,0.05052439743114853,0.08572145670302732,0.2213638434454638
TARTIFLETTE - 26cm Miel - 26 cm  ID1,0.08531360304332719,0.14829562940153493,0.15484506568071502,0.02946776148243917,0.36381922944635847,0.03895226937832851,0.014908292765105332,0.047208445699712526,0.05226009850463056,0.08898317198483707,0.22916977010980952
TARTIFLETTE - 26cm Noix - 26 cm  ID1,0.08531360304332719,0.14829562940153493,0.15484506568071502,0.02946776148243917,0.36381922944635847,0.03895226937832851,0.014908292765105332,0.047208445699712526,0.05226009850463056,0.08898317198483707,0.22916977010980952
TARTIFLETTE - 26cm Oeuf - 26 cm  ID1,0.08531360304332719,0.14829562940153493,0.15484506568071502,0.02946776148243917,0.36381922944635847,0.03895226937832851,0.014908292765105332,0.047208445699712526,0.05226009850463056,0.08898317198483707,0.22916977010980952
TARTIFLETTE - 26cm  - œuf  ID1,0.08531360304332719,0.14829562940153493,0.15484506568071502,0.02946776148243917,0.36381922944635847,0.03895226937832851,0.014908292765105332,0.047208445699712526,0.05226009850463056,0.08898317198483707,0.22916977010980952
TARTIFLETTE - 26cm  - oignons  ID1,0.08343259334799116,0.1442827281981765,0.14997362102820766,0.02855650172140013,0.35334002537836523,0.03802803190845179,0.014640657439570838,0.04584223113358452,0.05083613401563835,0.08624817518585128,0.22302558214173554
TARTIFLETTE - 26cm Olives 26  ID1,0.08877997949464099,0.15382290556964184,0.16059917677268146,0.030240588692950633,0.3770189878933556,0.0404415675630237,0.01572899563825697,0.04919947195462924,0.05422776971535978,0.09201055812663822,0.23769259414816665
TARTIFLETTE - 26cm  - pepperoni  ID1,0.08531360304332719,0.14829562940153493,0.15484506568071502,0.02946776148243917,0.36381922944635847,0.03895226937832851,0.014908292765105332,0.047208445699712526,0.05226009850463056,0.08898317198483707,0.22916977010980952
TARTIFLETTE - 26cm  - poivrons  ID1,0.08248717569342665,0.14290825880427835,0.14880199860929544,0.02830298765819875,0.3502247011894935,0.037565496541987965,0.01447593155269759,0.04544233377584943,0.05038962548719099,0.08548254608826823,0.220895334312778
TARTIFLETTE - 26cm  - pommes de terre  ID1,0.08649517643501646,0.14884917851828472,0.15475159573651281,0.02944714851531006,0.36519502145756844,0.03882439526917361,0.01527951306549279,0.04726636134460039,0.0527643035958295,0.08855343055071935,0.23065603004829932
TARTIFLETTE - 26cm  - poulet  ID1,0.08277633365408087,0.14348220277309495,0.14941309926551874,0.02841453457874676,0.35159307144978064,0.03772370063555447,0.01453436998435904,0.045624054886466904,0.050559046150270855,0.08586514588619348,0.2217463864528262
TARTIFLETTE - 26cm Reblochon - 26 cm  ID1,0.0829481110733743,0.14377938462566583,0.14997396652953937,0.02850777610662765,0.3525768218227148,0.037850976216550244,0.014546017971537902,0.04581254762478437,0.050724214298638895,0.0861359501402516,0.22224442228047564
TARTIFLETTE - 26cm Roquefort - 26 cm  ID1,0.0829481110733743,0.14377938462566583,0.14997396652953937,0.02850777610662765,0.3525768218227148,0.037850976216550244,0.014546017971537902,0.04581254762478437,0.050724214298638895,0.0861359501402516,0.22224442228047564
TARTIFLETTE - 26cm Sans Crème Fraîche  ID1,0.09137316884326507,0.1563238436141722,0.16298874325770854,0.030863474164029278,0.38435325988259916,0.04054542021379241,0.01639434847977481,0.04960959207869018,0.05572661553345081,0.09297735532199662,0.24291837272708727
TARTIFLETTE - 26cm Sans Jambon Cru  ID1,0.08757912499876362,0.14967441577470542,0.15599003113988952,0.029316138547119227,0.36792225942432294,0.03836872339483293,0.016024095726035317,0.047530597958321555,0.053613082988255574,0.08851236379029975,0.2326016496770724
TARTIFLETTE - 26cm Sans Lardons  ID1,0.0902598088354364,0.15408382893862588,0.1603626706436808,0.030195269051159837,0.37868195885265626,0.039619011927676896,0.01634844295188954,0.04883377213500198,0.05517320143716016,0.09113086418928554,0.2394517477058332
TARTIFLETTE - 26cm Sans Mozzarella  ID1,0.0911257507719439,0.15575856714776837,0.1626496210967706,0.03060742859651129,0.38321662830325776,0.04020021580838447,0.01647019435130966,0.04956023809935708,0.05580662026597402,0.09243448245521164,0.24202510001157174
TARTIFLETTE - 26cm Sans Pomme de Terres  ID1,0.08820141720004707,0.1504881979676834,0.1565380728262609,0.02922730478448604,0.36992364477309253,0.03814081351989315,0.01614340122069503,0.04784772756390823,0.054064237781850585,0.08847978011213606,0.23375638793477363
TARTIFLETTE - 26cm Sans Reblochon  ID1,0.0911257507719439,0.15575856714776837,0.1626496210967706,0.03060742859651129,0.38321662830325776,0.04020021580838447,0.01647019435130966,0.04956023809935708,0.05580662026597402,0.09243448245521164,0.24202510001157174
TARTIFLETTE - 26cm Saumon - 26 cm  ID1,0.0828687500293476,0.14341111869576675,0.14925732435515665,0.0283540447668307,0.35148413256275357,0.03756475083478219,0.014607086016610853,0.04555422575032208,0.05054653990749804,0.08569076474567029,0.22180768155216454
TARTIFLETTE - 26cm  - tomates fraîches  ID1,0.08471952237824622,0.14687668101404713,0.15275824098429455,0.028978937522929512,0.3596492829586324,0.038489727971205034,0.014953316939521333,0.04664811129857117,0.05159406055409182,0.08776660756445596,0.22702603741427876
TARTIFLETTE - 31cm Ananas - 31 cm  ID2,0.0829481110733743,0.14377938462566583,0.14997396652953937,0.02850777610662765,0.3525768218227148,0.037850976216550244,0.014546017971537902,0.04581254762478437,0.050724214298638895,0.0861359501402516,0.22224442228047564
TARTIFLETTE - 31cm Anchois - 31 cm  ID2,0.0826255294147356,0.14311815849792708,0.1490120874621959,0.0283412103723712,0.3506968969447409,0.03766005744330367,0.014505104598319938,0.045511269099053876,0.05043703583818742,0.08563355962531882,0.22122403144310432
TARTIFLETTE - 31cm Banane - 31 cm  ID2,0.0829481110733743,0.14377938462566583,0.14997396652953937,0.02850777610662765,0.3525768218227148,0.037850976216550244,0.014546017971537902,0.04581254762478437,0.050724214298638895,0.0861359501402516,0.22224442228047564
TARTIFLETTE - 31cm  - bœuf épicé  ID2,0.08447977924875699,0.14634553903550948,0.15244985558049498,0.028928827843910095,0.3586302746821924,0.03847672916757168,0.014857106261534038,0.04658616475517793,0.05164019595826677,0.08755442811231598,0.22612595420150844
TARTIFLETTE - 31cm  - câpres  ID2,0.08248717569342665,0.14290825880427835,0.14880199860929544,0.02830298765819875,0.3502247011894935,0.037565496541987965,0.01447593155269759,0.04544233377584943,0.05038962548719099,0.08548254608826823,0.220895334312778
TARTIFLETTE - 31cm  - champignons frais  ID2,0.084928641319443,0.14687706845012685,0.152944046718952,0.02899533388584359,0.3600608940595265,0.03841269843867654,0.015030798573977667,0.046701536047939474,0.05180982814322885,0.08767685328532793,0.2272584963127531
TARTIFLETTE - 31cm  - chorizo  ID2,0.0829481110733743,0.14377938462566583,0.14997396652953937,0.02850777610662765,0.3525768218227148,0.037850976216550244,0.014546017971537902,0.04581254762478437,0.050724214298638895,0.0861359501402516,0.22224442228047564
TARTIFLETTE - 31cm  - crème fraîche  ID2,0.08500455158782398,0.14699807589013725,0.15321123132168366,0.029186745275636673,0.3605679238310332,0.03865940853679512,0.01493216122745844,0.04674455462959304,0.051858904253711875,0.08801653393143746,0.2274815663718986
