ID,ProductID,Name,ProductGroupID,Name,GrossPrice,NetPrice,GuidedActivityID,WorkingOrder
1,1,TARTIFLETTE - 26cm_201709,5,Base crème fraiche_201709,0.00000,12.10,11,3
1,1,TARTIFLETTE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,12.10,11,3
1,1,TARTIFLETTE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,12.10,11,3
2,2,TARTIFLETTE - 31cm_201709,5,Base crème fraiche_201709,0.00000,18.20,11,3
2,2,TARTIFLETTE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,18.20,11,3
2,2,TARTIFLETTE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,18.20,11,3
3,3,COMTOISE - 26cm_201709,5,Base crème fraiche_201709,0.00000,10.80,11,3
3,3,COMTOISE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,10.80,11,3
3,3,COMTOISE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,10.80,11,3
4,4,COMTOISE - 31cm_201709,5,Base crème fraiche_201709,0.00000,16.20,11,3
4,4,COMTOISE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,16.20,11,3
4,4,COMTOISE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,16.20,11,3
5,5,FLAMMENKUCHE - 26cm_201709,5,Base crème fraiche_201709,0.00000,9.20,9,3
5,5,FLAMMENKUCHE - 26cm_201709,31,GA Plat Menu Midi_201709,0.00000,9.20,9,3
5,5,FLAMMENKUCHE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,9.20,9,3
5,5,FLAMMENKUCHE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,9.20,9,3
6,6,FLAMMENKUCHE - 31cm_201709,5,Base crème fraiche_201709,0.00000,13.80,11,3
6,6,FLAMMENKUCHE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,13.80,11,3
6,6,FLAMMENKUCHE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,13.80,11,3
7,7,CHICKEN - 26cm_201709,5,Base crème fraiche_201709,0.00000,10.70,11,3
7,7,CHICKEN - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,10.70,11,3
7,7,CHICKEN - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,10.70,11,3
8,8,CHICKEN - 31cm_201709,5,Base crème fraiche_201709,0.00000,16.10,11,3
8,8,CHICKEN - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,16.10,11,3
8,8,CHICKEN - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,16.10,11,3
9,9,INDIENNE - 26cm_201709,5,Base crème fraiche_201709,0.00000,10.80,11,3
9,9,INDIENNE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,10.80,11,3
9,9,INDIENNE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,10.80,11,3
10,10,INDIENNE - 31cm_201709,5,Base crème fraiche_201709,0.00000,16.20,11,3
10,10,INDIENNE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,16.20,11,3
10,10,INDIENNE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,16.20,11,3
11,11,ONE - 26cm_201709,6,Viande base sauce tomate_201709,0.00000,8.20,11,3
11,11,ONE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,8.20,11,3
