"D.PersonID","D.OrderHeaderID","H.ID","DeviceID","H.CreationDatetime","H.LastEditionDatetime","D.WorkspaceLocation","user_visit","H.NbDiners","nb_visits","avg_ticketU","Date","pch_freq"
"3039",1405,1405,"5246","2018-07-22 18:43:04.867","2018-07-22 18:43:04.867","2",0,0,1,16.2,2018-07-22,0
"4152",1099,1099,"1013","2018-07-05 10:34:06.167","2018-07-05 10:34:09.390","2",0,2,1,20.4,2018-07-05,0
"4153",1099,1099,"1013","2018-07-05 10:34:06.167","2018-07-05 10:34:09.390","2",0,2,1,17.5,2018-07-05,0
"4157",1102,1102,"1","2018-07-05 10:59:19.090","2018-07-05 10:59:19.933","2",0,2,1,22,2018-07-05,0
"4158",1102,1102,"1","2018-07-05 10:59:19.090","2018-07-05 10:59:19.933","2",0,2,1,22,2018-07-05,0
"4159",1103,1103,"1004","2018-07-05 11:17:41.233","2018-07-05 11:23:06.683","2",0,1,1,12.4,2018-07-05,0
"4165",1105,1105,"1013","2018-07-05 17:46:23.387","2018-07-05 17:55:47.020","2",0,2,1,22.2,2018-07-05,0
"4166",1106,1106,"1015","2018-07-05 17:58:22.987","2018-07-05 18:03:06.847","2",0,3,1,9.5,2018-07-05,0
"4167",1106,1106,"1015","2018-07-05 17:58:22.987","2018-07-05 18:03:06.847","2",0,3,1,10.8,2018-07-05,0
"4168",1106,1106,"1015","2018-07-05 17:58:22.987","2018-07-05 18:03:06.847","2",0,3,1,14.9,2018-07-05,0
"4170",1107,1107,"1016","2018-07-05 18:09:10.163","2018-07-05 18:20:18.557","2",0,2,1,24.9,2018-07-05,0
"4171",1107,1107,"1016","2018-07-05 18:09:10.163","2018-07-05 18:20:18.557","2",0,2,1,15.2,2018-07-05,0
"4172",1109,1109,"1009","2018-07-05 18:41:58.780","2018-07-05 18:45:12.887","2",0,2,1,13.9,2018-07-05,0
"4174",1109,1109,"1009","2018-07-05 18:41:58.780","2018-07-05 18:45:12.887","2",0,2,1,2.5,2018-07-05,0
"4175",1110,1110,"3","2018-07-05 19:14:03.033","2018-07-05 19:14:03.033","2",0,1,1,18.3,2018-07-05,0
"4178",1116,1116,"1013","2018-07-06 17:07:28.317","2018-07-06 17:08:35.583","2",0,3,1,22,2018-07-06,0
"4179",1116,1116,"1013","2018-07-06 17:07:28.317","2018-07-06 17:08:35.583","2",0,3,1,22,2018-07-06,0
"4180",1116,1116,"1013","2018-07-06 17:07:28.317","2018-07-06 17:08:35.583","2",0,3,1,12.3,2018-07-06,0
"4182",1118,1118,"1016","2018-07-06 17:23:38.753","2018-07-06 17:23:52.327","2",0,2,1,11.8,2018-07-06,0
"4184",1118,1118,"1016","2018-07-06 17:23:38.753","2018-07-06 17:23:52.327","2",0,2,1,10.8,2018-07-06,0
"4196",1174,1174,"3167","2018-07-09 10:07:38.030","2018-07-09 10:07:38.030","2",0,2,1,17.9,2018-07-09,0
"4198",1175,1175,"1013","2018-07-09 10:21:52.130","2018-07-09 10:21:52.130","2",0,1,1,20.5,2018-07-09,0
"4199",1177,1177,"1004","2018-07-09 10:26:24.257","2018-07-09 10:26:24.257","2",0,1,1,10.5,2018-07-09,0
"4205",1209,1209,"1014","2018-07-11 10:22:56.580","2018-07-11 10:22:56.580","2",0,2,1,0,2018-07-11,0
"4206",1213,1213,"3168","2018-07-11 11:40:55.883","2018-07-11 11:42:30.637","2",0,2,1,11,2018-07-11,0
"4207",1213,1213,"3168","2018-07-11 11:40:55.883","2018-07-11 11:42:30.637","2",0,2,1,21.4,2018-07-11,0
"4208",1217,1217,"3166","2018-07-12 10:23:26.927","2018-07-12 10:23:26.927","2",0,1,1,13.6,2018-07-12,0
"4209",1218,1218,"3170","2018-07-12 10:28:18.893","2018-07-12 10:28:18.893","2",0,2,1,20.6,2018-07-12,0
"4211",1219,1219,"1013","2018-07-12 10:40:40.967","2018-07-12 10:47:47.330","2",0,4,1,13.3,2018-07-12,0
"4212",1219,1219,"1013","2018-07-12 10:40:40.967","2018-07-12 10:47:47.330","2",0,4,1,21.8,2018-07-12,0
"4213",1219,1219,"1013","2018-07-12 10:40:40.967","2018-07-12 10:47:47.330","2",0,4,1,13.3,2018-07-12,0
"4214",1219,1219,"1013","2018-07-12 10:40:40.967","2018-07-12 10:47:47.330","2",0,4,1,14.6,2018-07-12,0
"4215",1220,1220,"3167","2018-07-12 10:47:22.490","2018-07-12 10:51:40.693","2",0,2,1,23,2018-07-12,0
"4216",1220,1220,"3167","2018-07-12 10:47:22.490","2018-07-12 10:51:40.693","2",0,2,1,10.5,2018-07-12,0
"4219",1229,1229,"3168","2018-07-13 10:42:34.727","2018-07-13 10:43:52.400","2",0,4,1,11.9,2018-07-13,0
"4221",1229,1229,"3168","2018-07-13 10:42:34.727","2018-07-13 10:43:52.400","2",0,4,1,10.5,2018-07-13,0
