,mean_visit_duration,median_visit_duration,std_visit_duration
TARTIFLETTE - 26cm Anchois - 26 cm  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm Artichaut - 26 cm  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - bœuf épicé  ID1,56.70102234443099,55.41950546024514,33.36051906043796
TARTIFLETTE - 26cm  - câpres  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - champignons frais  ID1,56.92863130015699,55.73096339960534,33.4217045980307
TARTIFLETTE - 26cm  - chorizo  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - crème fraîche  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - double mozzarella  ID1,56.92863130015699,55.73096339960534,33.4217045980307
TARTIFLETTE - 26cm  - fromage de chèvre  ID1,57.312540908530984,55.73096339960534,34.18377245966969
TARTIFLETTE - 26cm  - jambon  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - lardons fumés  ID1,56.70102234443099,55.41950546024514,33.36051906043796
TARTIFLETTE - 26cm  - merguez  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm Miel - 26 cm  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm Noix - 26 cm  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm Oeuf - 26 cm  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - œuf  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - oignons  ID1,56.70102234443099,55.41950546024514,33.36051906043796
TARTIFLETTE - 26cm Olives 26  ID1,56.92863130015699,55.41950546024514,33.4217045980307
TARTIFLETTE - 26cm  - pepperoni  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - poivrons  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm  - pommes de terre  ID1,57.312540908530984,55.73096339960534,34.18377245966969
TARTIFLETTE - 26cm  - poulet  ID1,57.312540908530984,55.91906109958183,34.18377245966969
TARTIFLETTE - 26cm Reblochon - 26 cm  ID1,57.312540908530984,55.91906109958183,34.18377245966969
